"variable","n_outliers","percent_outliers","lower_bound","upper_bound"
"lipids5",293,25.5226480836237,-0.0600000000000001,0.9
"hormone3",118,10.2787456445993,-5.3875,18.3125
"hormone4",94,8.18815331010453,-1.6,12.8
"hormone5",66,5.74912891986063,-119.62675,677.46925
"hormone1",61,5.31358885017422,-0.4,3.6
"hormone2",57,4.96515679442509,-115.5,800.5
"hormone6",52,4.52961672473868,-50.875,193.525
"hormone8",46,4.00696864111498,-38,370
"antioxidant5",34,2.9616724738676,-0.06,1.38
"lipid_pero3",33,2.87456445993031,-0.32625,1.60375
"antioxidant3",33,2.87456445993031,1.055,2.855
"hormone10_generated",31,2.70034843205575,-0.249362815884478,1.16881768953069
"lipids1",25,2.17770034843206,-0.06,1.94
"lipid_pero2",25,2.17770034843206,-0.1,2.78
"antioxidant4",25,2.17770034843206,-0.978749999999999,16.19125
"lipids4",22,1.91637630662021,0.59375,5.16375
"lipid_pero1",22,1.91637630662021,-0.0625000000000007,4.0775
"lipids3",21,1.82926829268293,0.395,1.795
"lipids2",20,1.74216027874564,2.05125,6.82125
"hormone7",18,1.56794425087108,-4.65,14.95
"lipid_pero4",18,1.56794425087108,-0.405,3.155
"antioxidant2",16,1.39372822299652,1.07,3.55
"сarb_metabolism",12,1.04529616724739,2.68,7
"lipid_pero5",9,0.78397212543554,1.52,22.08
"antioxidant1",1,0.0871080139372822,1.06,2.18
"record_id",0,0,-1280.75,3881.25
